;COUNTYFP;STATEFP;Geo Point;NAME;STATE_NAME
0;63;39;41.001938375,-83.6665354077;Hancock;Ohio
1;179;51;38.4207190191,-77.4574003866;Stafford;Virginia
2;181;31;40.1764332141,-98.4999473753;Webster;Nebraska
3;127;48;28.4225359982,-99.756726125;Dimmit;Texas
4;31;19;41.7723266607,-91.1324230468;Cedar;Iowa
5;39;46;44.7600579518,-96.6679741404;Deuel;South Dakota
6;89;19;43.3567673364,-92.3171989039;Howard;Iowa
7;99;12;26.6475645688,-80.4365110484;Palm Beach;Florida
8;89;36;44.4964021427,-75.0689522747;St. Lawrence;New York
9;25;46;44.8582538926,-97.7294962958;Clark;South Dakota
10;57;31;40.1762352358,-101.687961438;Dundy;Nebraska
11;3;8;37.5728931402,-105.788288197;Alamosa;Colorado
12;17;12;28.8475696914,-82.5201067311;Citrus;Florida
13;89;45;33.6199254931,-79.7277120284;Williamsburg;South Carolina
14;127;55;42.6684869829,-88.5419040709;Walworth;Wisconsin
15;161;18;39.6255458453,-84.9251420286;Union;Indiana
16;67;27;45.1523823451,-95.0047424624;Kandiyohi;Minnesota
17;29;23;44.9694591011,-67.6090594873;Washington;Maine
18;103;72;18.2110304405,-65.7360948748;Naguabo;Puerto Rico
19;93;37;35.0175290075,-79.237290715;Hoke;North Carolina
20;161;27;44.0221236545,-93.5872832229;Waseca;Minnesota
21;49;16;45.8441976984,-115.46748731;Idaho;Idaho
22;87;31;40.1763469163,-101.042272426;Hitchcock;Nebraska
23;11;30;45.5167568769,-104.536158529;Carter;Montana
24;5;38;48.0693970137,-99.3660130155;Benson;North Dakota
25;181;19;41.334373461,-93.5613593647;Warren;Iowa
26;73;42;40.9912143554,-80.3347070702;Lawrence;Pennsylvania
27;101;51;37.7065960005,-77.0885455088;King William;Virginia
28;11;41;43.1851621531,-124.093318775;Coos;Oregon
29;165;48;32.7407276994,-102.635174091;Gaines;Texas
30;47;22;30.2584988738,-91.3493631932;Iberville;Louisiana
31;37;12;29.8116835857,-84.8004565948;Franklin;Florida
32;23;38;48.8148829805,-103.48733562;Divide;North Dakota
33;181;17;37.4712716191,-89.255127403;Union;Illinois
34;13;45;32.3570482149,-80.6921989253;Beaufort;South Carolina
35;23;55;43.2394623005,-90.9310479025;Crawford;Wisconsin
36;303;48;33.6102061227,-101.820545838;Lubbock;Texas
37;29;12;29.5812415277,-83.1870324531;Dixie;Florida
38;303;13;32.9695357353,-82.7958991685;Washington;Georgia
39;63;53;47.6206643185,-117.403947339;Spokane;Washington
40;55;54;37.4055150245,-81.1114444602;Mercer;West Virginia
41;33;12;30.6143960313,-87.3413643298;Escambia;Florida
42;103;40;36.388599579,-97.2305066413;Noble;Oklahoma
43;187;37;35.8392646425,-76.5693098876;Washington;North Carolina
44;109;17;40.4562312432,-90.6778776624;McDonough;Illinois
45;25;34;40.2875173476,-74.1582023922;Monmouth;New Jersey
46;41;40;36.4082132934,-94.8026575137;Delaware;Oklahoma
47;11;20;37.8552256175,-94.8492968396;Bourbon;Kansas
48;29;6;35.3428473738,-118.729900424;Kern;California
49;7;54;38.6998727176,-80.7192881391;Braxton;West Virginia
50;81;37;36.0794717315,-79.7889042685;Guilford;North Carolina
51;107;1;33.2808768859,-88.0886925942;Pickens;Alabama
52;107;8;40.4850679408,-106.991193187;Routt;Colorado
53;590;51;36.5831912624,-79.4088067684;Danville;Virginia
54;87;54;38.7140255919,-81.3483495174;Roane;West Virginia
55;201;17;42.3362603021,-89.1608658488;Winnebago;Illinois
56;50;60;-14.3355554126,-170.784527256;Western;American Samoa
57;47;48;27.0315726438,-98.2187211196;Brooks;Texas
58;123;17;41.0331711391,-89.3447914374;Marshall;Illinois
59;69;26;44.3370929481,-83.0853006647;Iosco;Michigan
60;51;31;42.4930987798,-96.8677208272;Dixon;Nebraska
61;1;13;31.7492803518,-82.288983582;Appling;Georgia
62;73;48;31.8369546469,-95.1651831384;Cherokee;Texas
63;23;27;45.0223609495,-95.5667047202;Chippewa;Minnesota
64;47;28;30.4160496685,-89.081642685;Harrison;Mississippi
65;39;53;45.8738054472,-120.789207302;Klickitat;Washington
66;67;30;45.4883821256,-110.526662711;Park;Montana
67;149;13;33.2970283837,-85.128270367;Heard;Georgia
68;297;48;28.3513711091,-98.124785649;Live Oak;Texas
69;125;8;40.0028993432,-102.424226323;Yuma;Colorado
70;5;16;42.6684852128,-112.224618777;Bannock;Idaho
71;493;48;29.17400609,-98.0865732835;Wilson;Texas
72;181;18;40.7497715932,-86.8654694016;White;Indiana
73;117;47;35.4688611107,-86.7650174387;Marshall;Tennessee
74;141;55;44.45533124,-90.0415484809;Wood;Wisconsin
75;67;13;33.9414815247,-84.5766842461;Cobb;Georgia
76;19;8;39.6890538531,-105.64436349;Clear Creek;Colorado
77;217;48;31.9906857305,-97.1324266998;Hill;Texas
78;33;31;41.2197790932,-102.994978749;Cheyenne;Nebraska
79;79;20;38.0432184802,-97.4272714417;Harvey;Kansas
80;27;72;18.443076541,-66.8626349655;Camuy;Puerto Rico
81;115;51;37.4173108862,-76.271286532;Mathews;Virginia
82;67;36;43.0057953643,-76.1946419306;Onondaga;New York
83;7;49;39.6481383656,-110.588798086;Carbon;Utah
84;27;42;40.9193457751,-77.8199601615;Centre;Pennsylvania
85;67;54;38.2917014586,-80.7993280947;Nicholas;West Virginia
86;145;18;39.5236921944,-85.7917003981;Shelby;Indiana
87;123;22;32.7885605367,-91.4567382424;West Carroll;Louisiana
88;9;54;40.2738181301,-80.5764203083;Brooke;West Virginia
89;171;29;40.478908401,-93.0161267941;Putnam;Missouri
90;97;18;39.7817096805,-86.1384716709;Marion;Indiana
91;59;72;18.0071198462,-66.7971292026;Guayanilla;Puerto Rico
92;475;48;31.5094655501,-103.102425237;Ward;Texas
93;29;16;42.7705180974,-111.562215274;Caribou;Idaho
94;11;5;33.4664224376,-92.1624016443;Bradley;Arkansas
95;21;16;48.7668933923,-116.462903445;Boundary;Idaho
96;23;46;43.2079070509,-98.5878938604;Charles Mix;South Dakota
97;459;48;32.7362765372,-94.9414845344;Upshur;Texas
98;61;40;35.2247812957,-95.1166498604;Haskell;Oklahoma
99;165;51;38.5120104943,-78.8757516437;Rockingham;Virginia
100;9;37;36.434424701,-81.5005211955;Ashe;North Carolina
101;177;51;38.1849543372,-77.6560473238;Spotsylvania;Virginia
102;35;56;42.7669066527,-109.914705901;Sublette;Wyoming
103;479;48;27.7610624301,-99.3315653042;Webb;Texas
104;175;37;35.2021778635,-82.7983001279;Transylvania;North Carolina
105;61;48;26.1513412689,-97.4529680071;Cameron;Texas
106;55;37;35.664936694,-75.6852333134;Dare;North Carolina
107;57;12;27.9062278359,-82.346916153;Hillsborough;Florida
108;31;31;42.5449323085,-101.118576892;Cherry;Nebraska
109;117;51;36.6803610038,-78.3626942045;Mecklenburg;Virginia
110;129;31;40.1763796295,-98.0471849897;Nuckolls;Nebraska
111;3;39;40.7715207081,-84.1057794323;Allen;Ohio
112;85;39;41.9103521337,-81.250939242;Lake;Ohio
113;11;29;37.5023005833,-94.3471107747;Barton;Missouri
114;89;26;45.151770859,-86.0384960523;Leelanau;Michigan
115;115;8;40.8759049641,-102.351791195;Sedgwick;Colorado
116;89;31;42.4557108473,-98.7838447084;Holt;Nebraska
117;227;13;34.4643197803,-84.4656390578;Pickens;Georgia
118;69;28;32.7545579307,-88.6411594239;Kemper;Mississippi
119;83;17;39.0855054887,-90.3565282985;Jersey;Illinois
120;95;12;28.5144162588,-81.3234735281;Orange;Florida
121;181;48;33.6268085539,-96.6777253881;Grayson;Texas
122;107;48;33.6146250309,-101.299958451;Crosby;Texas
123;151;72;18.0559662881,-65.8633023194;Yabucoa;Puerto Rico
124;3;40;36.730988911,-98.3239781797;Alfalfa;Oklahoma
125;193;21;37.2442933233,-83.2214816028;Perry;Kentucky
126;121;19;41.3307142217,-94.0155619459;Madison;Iowa
127;5;48;31.2547645833,-94.6118485462;Angelina;Texas
128;11;17;41.4041459264,-89.5286557577;Bureau;Illinois
129;157;18;40.3886187334,-86.8940974128;Tippecanoe;Indiana
130;37;26;42.9436523662,-84.6015165533;Clinton;Michigan
131;133;72;17.9530033162,-66.3866938243;Santa Isabel;Puerto Rico
132;131;37;36.4177312434,-77.3968212099;Northampton;North Carolina
133;81;46;44.3586271805,-103.792224515;Lawrence;South Dakota
134;59;8;39.5864284092,-105.250466793;Jefferson;Colorado
135;35;20;37.2377526609,-96.8374891769;Cowley;Kansas
136;45;51;37.4817063904,-80.2113954217;Craig;Virginia
137;27;25;42.3513950817,-71.9077266261;Worcester;Massachusetts
138;31;6;36.0753604529,-119.815502709;Kings;California
139;115;20;38.3588724365,-97.0968903589;Marion;Kansas
140;291;13;34.8340257189,-83.990719955;Union;Georgia
141;53;22;30.2677218795,-92.814120915;Jefferson Davis;Louisiana
142;37;8;39.6278256159,-106.695299259;Eagle;Colorado
143;209;29;36.7470190976,-93.455980976;Stone;Missouri
144;69;16;46.326849228,-116.750277131;Nez Perce;Idaho
145;113;13;33.4139430365,-84.4941911259;Fayette;Georgia
146;275;2;56.2936264549,-132.12922494;Wrangell;Alaska
147;1;20;37.8857349436,-95.3013889295;Allen;Kansas
148;165;19;41.6850925934,-95.31021134;Shelby;Iowa
149;9;34;39.0850981086,-74.8499770137;Cape May;New Jersey
150;5;33;42.9193314277,-72.2511752725;Cheshire;New Hampshire
151;9;24;38.5347120041,-76.5305644689;Calvert;Maryland
152;43;35;35.6886045558,-106.865950923;Sandoval;New Mexico
153;147;40;36.7152338187,-95.9043661801;Washington;Oklahoma
154;323;48;28.7425901306,-100.314514171;Maverick;Texas
155;163;37;34.9915361594,-78.3713906105;Sampson;North Carolina
156;163;47;36.5129154065,-82.3041428598;Sullivan;Tennessee
157;11;56;44.5886036159,-104.569929444;Crook;Wyoming
158;139;18;39.6199484364,-85.4657611777;Rush;Indiana
159;195;29;39.1368391026,-93.2018512461;Saline;Missouri
160;3;24;38.9941571642,-76.5675970619;Anne Arundel;Maryland
161;101;54;38.4947373058,-80.421873068;Webster;West Virginia
162;155;17;41.2044899818,-89.2857803179;Putnam;Illinois
163;23;5;35.5381064958,-92.0267180322;Cleburne;Arkansas
164;61;27;47.5095252347,-93.6320085311;Itasca;Minnesota
165;5;10;38.6832973547,-75.3395417153;Sussex;Delaware
166;59;18;39.8235499831,-85.7732376368;Hancock;Indiana
167;97;29;37.2035472717,-94.3406053082;Jasper;Missouri
168;61;53;48.0460953466,-121.722346726;Snohomish;Washington
169;125;17;40.2396222297,-89.9168137955;Mason;Illinois
170;77;53;46.4570264297,-120.738490426;Yakima;Washington
171;213;48;32.211900087,-95.8535779226;Henderson;Texas
172;87;18;41.6426062358,-85.4264979093;LaGrange;Indiana
173;225;13;32.5687919024,-83.8268633608;Peach;Georgia
174;37;54;39.3076165956,-77.8627359849;Jefferson;West Virginia
175;439;48;32.7715559666,-97.291239244;Tarrant;Texas
176;123;28;32.4063798664,-89.5376379602;Scott;Mississippi
177;83;18;38.6890898846,-87.4180084675;Knox;Indiana
178;47;31;40.8699361138,-99.8195657092;Dawson;Nebraska
179;27;30;47.2635798565,-109.224485149;Fergus;Montana
180;69;6;36.6057058971,-121.074995529;San Benito;California
181;39;30;46.4044620332,-113.440367846;Granite;Montana
182;165;26;44.3383668115,-85.5784138137;Wexford;Michigan
183;173;51;36.843740372,-81.5369666383;Smyth;Virginia
184;59;27;45.5614793413,-93.2951672181;Isanti;Minnesota
185;467;48;32.5637166985,-95.83651612;Van Zandt;Texas
186;29;34;39.8659324961,-74.2499159319;Ocean;New Jersey
187;141;17;42.0425663561,-89.3207266558;Ogle;Illinois
188;27;20;39.3497164186,-97.1651722307;Clay;Kansas
189;25;29;39.6557509891,-93.9827993285;Caldwell;Missouri
190;13;21;36.7306482485,-83.6740950601;Bell;Kentucky
191;19;6;36.7581801263,-119.649322632;Fresno;California
192;111;48;36.2778878907,-102.60218562;Dallam;Texas
193;499;48;32.7864051416,-95.3820619748;Wood;Texas
194;115;55;44.7891558271,-88.7654354834;Shawano;Wisconsin
195;79;27;44.3714339354,-93.7300728963;Le Sueur;Minnesota
196;143;72;18.4353927796,-66.3355961365;Vega Alta;Puerto Rico
197;25;24;39.5364361834,-76.2988753861;Harford;Maryland
198;15;55;44.0816034654,-88.2180579882;Calumet;Wisconsin
199;49;53;46.5514253133,-123.779667446;Pacific;Washington
200;13;2;55.2245210175,-161.947228747;Aleutians East;Alaska
201;55;36;43.3091611082,-77.6801783639;Monroe;New York
202;7;15;22.0110798698,-159.7054382;Kauai;Hawaii
203;103;28;33.110112782,-88.5698161858;Noxubee;Mississippi
204;65;41;45.1600224643,-121.167775167;Wasco;Oregon
205;189;47;36.1548497851,-86.2977463556;Wilson;Tennessee
206;95;36;42.5882192933,-74.4421175889;Schoharie;New York
207;49;54;39.509995074,-80.2433983428;Marion;West Virginia
208;31;55;46.4641098796,-91.8994024936;Douglas;Wisconsin
209;65;37;35.912880671,-77.5970588882;Edgecombe;North Carolina
210;720;51;36.931457433,-82.6262026867;Norton;Virginia
211;87;40;35.0093341427,-97.4442882363;McClain;Oklahoma
212;149;72;18.1281740486,-66.4728039205;Villalba;Puerto Rico
213;301;13;33.4089633624,-82.6767617191;Warren;Georgia
214;85;30;48.2945125463,-105.016391302;Roosevelt;Montana
215;15;53;46.1932195454,-122.680974546;Cowlitz;Washington
216;197;37;36.1605336919,-80.6652439331;Yadkin;North Carolina
217;169;20;38.7838065024,-97.6499306446;Saline;Kansas
218;43;17;41.8519557671,-88.0855946496;DuPage;Illinois
219;59;31;40.5246661273,-97.5965014328;Fillmore;Nebraska
220;16;2;52.680220089,-92.4880742871;Aleutians West;Alaska
221;139;21;37.2097032695,-88.3538137781;Livingston;Kentucky
222;1;42;39.8714520053,-77.2178797931;Adams;Pennsylvania
223;49;49;40.1199573141,-111.670334914;Utah;Utah
224;47;36;40.6343512879,-73.9502045905;Kings;New York
225;219;21;36.8355562279,-87.1791532892;Todd;Kentucky
226;95;42;40.7541667046,-75.3075869515;Northampton;Pennsylvania
227;29;39;40.7684277475,-80.7771865597;Columbiana;Ohio
228;83;12;29.2102022904,-82.0566756823;Marion;Florida
229;97;17;42.325322722,-87.6311845438;Lake;Illinois
230;63;8;39.3054413227,-102.602887422;Kit Carson;Colorado
231;91;47;36.4549370868,-81.8517719844;Johnson;Tennessee
232;41;21;38.6678584122,-85.123590032;Carroll;Kentucky
233;139;47;35.1199026751,-84.5233230209;Polk;Tennessee
234;75;38;48.7189972077,-101.657774141;Renville;North Dakota
235;451;48;31.404399317,-100.462072838;Tom Green;Texas
236;135;19;41.0297829981,-92.8689876816;Monroe;Iowa
237;33;45;34.3915831664,-79.3788986183;Dillon;South Carolina
238;65;31;40.1764658834,-99.9122732442;Furnas;Nebraska
239;25;38;47.3567862566,-102.618205478;Dunn;North Dakota
240;23;26;41.9161186535,-85.0590443604;Branch;Michigan
241;191;21;38.6956276543,-84.3602721797;Pendleton;Kentucky
242;51;47;35.1549608138,-86.0921752079;Franklin;Tennessee
243;131;13;30.8746728358,-84.2344263446;Grady;Georgia
244;63;6;40.0046824769,-120.838597596;Plumas;California
245;51;49;40.3307738015,-111.16818403;Wasatch;Utah
246;35;39;41.6350590585,-81.7001959208;Cuyahoga;Ohio
247;69;30;47.1175406772,-108.250216941;Petroleum;Montana
248;33;47;35.8135384798,-89.1395281511;Crockett;Tennessee
249;51;35;33.1304910055,-107.192378947;Sierra;New Mexico
250;123;31;41.7159996542,-103.010548763;Morrill;Nebraska
251;19;20;37.1500572155,-96.2453782628;Chautauqua;Kansas
252;111;1;33.2937873448,-85.4590701568;Randolph;Alabama
253;91;30;48.7209967429,-104.504654201;Sheridan;Montana
254;91;45;34.9747567032,-81.1843527866;York;South Carolina
255;175;18;38.5999841735,-86.1053059023;Washington;Indiana
256;25;16;43.4633261176,-114.805776873;Camas;Idaho
257;41;54;38.9958676803,-80.5021593376;Lewis;West Virginia
258;119;40;36.0772896934,-96.9756358548;Payne;Oklahoma
259;179;21;37.805131267,-85.4659885855;Nelson;Kentucky
260;570;51;37.2650404186,-77.3969067219;Colonial Heights;Virginia
261;11;25;42.5831156958,-72.5918576846;Franklin;Massachusetts
262;39;31;41.916402826,-96.787400407;Cuming;Nebraska
263;27;1;33.2690858673,-85.8605470841;Clay;Alabama
264;115;13;34.263162689,-85.2142786499;Floyd;Georgia
265;43;31;42.3911118186,-96.564513018;Dakota;Nebraska
266;79;54;38.5086167769,-81.9089929263;Putnam;West Virginia
267;193;13;32.3583825945,-84.0424794131;Macon;Georgia
268;27;37;35.9530379334,-81.5464366451;Caldwell;North Carolina
269;101;20;38.4813047182,-100.466398449;Lane;Kansas
270;63;37;36.0360299243,-78.8765926949;Durham;North Carolina
271;49;30;47.1224429081,-112.390455011;Lewis and Clark;Montana
272;169;47;36.3920428566,-86.1567527604;Trousdale;Tennessee
273;11;12;26.1518560378,-80.4558842537;Broward;Florida
274;133;48;32.3270730707,-98.8323222504;Eastland;Texas
275;125;39;41.1166208296,-84.5801945588;Paulding;Ohio
276;159;19;40.7352022993,-94.2439719124;Ringgold;Iowa
277;65;42;41.1281451272,-78.9994214565;Jefferson;Pennsylvania
278;73;46;44.0663458318,-98.6296749711;Jerauld;South Dakota
279;21;32;38.5388085859,-118.435214254;Mineral;Nevada
280;115;40;36.835513749,-94.810429621;Ottawa;Oklahoma
281;13;37;35.486983815,-76.8453144055;Beaufort;North Carolina
282;143;28;34.6519495513,-90.3754987097;Tunica;Mississippi
283;5;18;39.2059705721,-85.8976029732;Bartholomew;Indiana
284;51;5;34.5767017575,-93.150399652;Garland;Arkansas
285;43;56;43.9049970086,-107.68286072;Washakie;Wyoming
286;71;27;48.2452683995,-93.7833663013;Koochiching;Minnesota
287;461;48;31.3687302289,-102.043034893;Upton;Texas
288;75;6;37.7597150131,-122.693975573;San Francisco;California
289;61;54;39.6302838888,-80.0465441583;Monongalia;West Virginia
290;381;48;34.965857001,-101.896944529;Randall;Texas
291;89;29;39.1424974869,-92.6962654763;Howard;Missouri
292;13;12;30.4060343343,-85.1972071433;Calhoun;Florida
293;77;46;44.3695852597,-97.491476123;Kingsbury;South Dakota
294;153;48;34.0724245507,-101.303234519;Floyd;Texas
295;43;41;44.4888787662,-122.534995075;Linn;Oregon
296;375;48;35.4012758182,-101.894004898;Potter;Texas
297;19;47;36.2927208493,-82.1274783436;Carter;Tennessee
298;59;36;40.7321421632,-73.585536665;Nassau;New York
299;11;37;36.0766050343,-81.9226013745;Avery;North Carolina
300;3;16;44.8895880248,-116.453882862;Adams;Idaho
301;109;6;38.0276014047,-119.95475358;Tuolumne;California
302;93;72;18.1720935702,-66.9422835125;Maricao;Puerto Rico
303;37;39;40.1332239754,-84.6193191365;Darke;Ohio
304;47;54;37.3785013178,-81.653583786;McDowell;West Virginia
305;9;9;41.3488242868,-72.8998576911;New Haven;Connecticut
306;105;55;42.6712233677,-89.0715652079;Rock;Wisconsin
307;157;26;43.4913425333,-83.4398685744;Tuscola;Michigan
308;93;5;35.7639016515,-90.0541660119;Mississippi;Arkansas
309;95;28;33.8922415035,-88.4804669083;Monroe;Mississippi
310;437;48;34.5303849906,-101.735026846;Swisher;Texas
311;17;6;38.7787375794,-120.524649929;El Dorado;California
312;73;37;36.4449435708,-76.7005266521;Gates;North Carolina
313;19;38;48.77230295,-98.464838016;Cavalier;North Dakota
314;163;48;28.8678175883,-99.1082667829;Frio;Texas
315;13;33;43.2974962568,-71.6802764616;Merrimack;New Hampshire
316;31;13;32.3968141786,-81.7431781429;Bulloch;Georgia
317;115;28;34.2254421511,-89.0374096749;Pontotoc;Mississippi
318;53;48;30.7882970504,-98.1824471655;Burnet;Texas
319;259;13;32.0784621843,-84.8352023744;Stewart;Georgia
320;77;1;34.901372384,-87.6539980067;Lauderdale;Alabama
321;740;51;36.8590007836,-76.3567086184;Portsmouth;Virginia
322;29;1;33.6745577167,-85.5187680028;Cleburne;Alabama
323;187;47;35.8938381553,-86.8986535599;Williamson;Tennessee
324;17;17;39.9735467174,-90.247375054;Cass;Illinois
325;15;16;43.9891394613,-115.730322485;Boise;Idaho
326;79;16;47.3529575649,-115.892435463;Shoshone;Idaho
327;105;19;42.1212370657,-91.131465421;Jones;Iowa
328;45;1;31.4318270699,-85.6110368183;Dale;Alabama
329;9;49;40.887287897,-109.507612097;Daggett;Utah
330;19;35;34.8633405971,-104.790631134;Guadalupe;New Mexico
331;3;51;38.0228983556,-78.5566760673;Albemarle;Virginia
332;21;28;31.9736926021,-90.9118133348;Claiborne;Mississippi
333;123;1;32.8624049426,-85.7975022448;Tallapoosa;Alabama
334;23;48;33.616489499,-99.2135151435;Baylor;Texas
335;51;27;45.934046167,-96.0121840981;Grant;Minnesota
336;37;20;37.5073151069,-94.8518113711;Crawford;Kansas
337;11;33;42.9152915059,-71.7160824662;Hillsborough;New Hampshire
338;355;48;27.7350347565,-97.516253851;Nueces;Texas
339;83;36;42.7110535518,-73.5097121399;Rensselaer;New York
340;25;4;34.5998564246,-112.553944833;Yavapai;Arizona
341;27;34;40.8620042241,-74.5445106674;Morris;New Jersey
342;211;29;40.2106416142,-93.1115222539;Sullivan;Missouri
343;415;48;32.7463149294,-100.916407078;Scurry;Texas
344;25;20;37.2355230437,-99.8203076918;Clark;Kansas
345;51;26;43.9906739447,-84.3882463136;Gladwin;Michigan
346;57;45;34.6866819092,-80.7054233818;Lancaster;South Carolina
347;3;34;40.9596717781,-74.0742255725;Bergen;New Jersey
348;31;72;18.3969534214,-65.9687553171;Carolina;Puerto Rico
349;55;49;38.3243487435,-110.903793031;Wayne;Utah
350;101;17;38.7199480156,-87.7267298383;Lawrence;Illinois
351;19;17;40.1400890018,-88.1991706674;Champaign;Illinois
352;143;40;36.1210986495,-95.9414756124;Tulsa;Oklahoma
353;121;39;39.7659588693,-81.4555606055;Noble;Ohio
354;139;19;41.4839220534,-91.1127562492;Muscatine;Iowa
355;21;54;38.9240617743,-80.8570836304;Gilmer;West Virginia
356;57;28;34.2799867489,-88.3613228409;Itawamba;Mississippi
357;13;23;44.0272987421,-69.015547485;Knox;Maine
358;21;8;37.2006875346,-106.191627951;Conejos;Colorado
359;121;22;30.4634147938,-91.3127466677;West Baton Rouge;Louisiana
360;800;51;36.7018432696,-76.6340460041;Suffolk;Virginia
361;49;29;39.6017802193,-94.4045940298;Clinton;Missouri
362;159;39;40.2993893945,-83.3715754728;Union;Ohio
363;65;22;32.3644009947,-91.2425796995;Madison;Louisiana
364;27;31;42.59926192,-97.252401002;Cedar;Nebraska
365;63;29;39.8931762515,-94.404709492;DeKalb;Missouri
366;683;51;38.7478811299,-77.4838087142;Manassas;Virginia
367;89;72;18.3686639331,-65.7121531688;Luquillo;Puerto Rico
368;39;42;41.6846965026,-80.1062776173;Crawford;Pennsylvania
369;63;47;36.2171519061,-83.2666627121;Hamblen;Tennessee
370;219;48;33.6076426857,-102.343197183;Hockley;Texas
371;365;48;32.1623552365,-94.3056398565;Panola;Texas
372;197;20;38.9532912889,-96.2050045391;Wabaunsee;Kansas
373;1;34;39.4688295112,-74.6337304316;Atlantic;New Jersey
374;71;55;44.1106889273,-87.5123716853;Manitowoc;Wisconsin
375;137;5;35.8598655553,-92.1567129536;Stone;Arkansas
376;1;32;39.580876381,-118.335778874;Churchill;Nevada
377;7;9;41.4353818043,-72.5231194296;Middlesex;Connecticut
378;39;20;39.7847564917,-100.459899544;Decatur;Kansas
379;115;39;39.6203734727,-81.8526618984;Morgan;Ohio
380;111;20;38.4561871377,-96.1526397502;Lyon;Kansas
381;109;37;35.4855950234,-81.2235326264;Lincoln;North Carolina
382;279;13;32.1217203314,-82.3312929099;Toombs;Georgia
383;171;18;40.3469033297,-87.3533144839;Warren;Indiana
384;41;12;29.7258227162,-82.8003665306;Gilchrist;Florida
385;595;51;36.6953299477,-77.5356107293;Emporia;Virginia
386;37;18;38.3642764332,-86.8798021177;Dubois;Indiana
387;63;40;35.0483629463,-96.2501879728;Hughes;Oklahoma
388;73;30;48.2279328059,-112.226687932;Pondera;Montana
389;119;29;36.628673995,-94.3483586551;McDonald;Missouri
390;271;48;29.3502075785,-100.417946618;Kinney;Texas
391;61;22;32.6016373737,-92.6648152839;Lincoln;Louisiana
392;359;48;35.4050346181,-102.602870603;Oldham;Texas
393;43;12;26.9564459351,-81.1890293853;Glades;Florida
394;137;51;38.2462130511,-78.0136665279;Orange;Virginia
395;95;1;34.3669621021,-86.306636969;Marshall;Alabama
396;53;17;40.597165174,-88.2232738465;Ford;Illinois
397;79;51;38.297620662,-78.4668692674;Greene;Virginia
398;10;66;13.4427595479,144.769451697;Guam;Guam
399;67;39;40.2938389348,-81.0911358771;Harrison;Ohio
400;255;48;28.9057389627,-97.8594018287;Karnes;Texas
401;171;17;39.6441138538,-90.474747165;Scott;Illinois
402;113;36;43.560975208,-73.8460059552;Warren;New York
403;129;55;45.8991791693,-91.7912346303;Washburn;Wisconsin
404;37;13;31.5291972743,-84.6245076946;Calhoun;Georgia
405;273;48;27.4267108244,-97.6683877685;Kleberg;Texas
406;11;42;40.4162956557,-75.9259989042;Berks;Pennsylvania
407;3;25;42.3706766098,-73.2064122879;Berkshire;Massachusetts
408;45;37;35.3341018022,-81.5555471412;Cleveland;North Carolina
409;49;19;41.6848582046,-94.0397619265;Dallas;Iowa
410;185;37;36.3965102811,-78.1067171324;Warren;North Carolina
411;485;48;33.9879970441,-98.7035507511;Wichita;Texas
412;137;37;35.151021226,-76.6694598427;Pamlico;North Carolina
413;113;21;37.872051318,-84.5809372528;Jessamine;Kentucky
414;55;47;35.2021508952,-87.0347773688;Giles;Tennessee
415;191;20;37.2372753377,-97.4765502094;Sumner;Kansas
416;311;13;34.6463905658,-83.747108233;White;Georgia
417;59;22;31.6767316888,-92.1604365033;LaSalle;Louisiana
418;103;19;41.6715248584,-91.5881018852;Johnson;Iowa
419;90;2;64.8077661564,-146.565422856;Fairbanks North Star;Alaska
420;37;72;18.2683832042,-65.5592543864;Ceiba;Puerto Rico
421;41;45;34.0244909939,-79.7029792115;Florence;South Carolina
422;3;27;45.2732429118,-93.2464685787;Anoka;Minnesota
423;45;24;38.3694102763,-75.6315310797;Wicomico;Maryland
424;123;8;40.5548298977,-104.392531357;Weld;Colorado
425;67;42;40.5310649083,-77.4021626656;Juniata;Pennsylvania
426;107;26;43.6407681919,-85.3246335487;Mecosta;Michigan
427;75;48;34.5292014575,-100.207574947;Childress;Texas
428;227;21;36.9935767676,-86.4237993498;Warren;Kentucky
429;51;19;40.7476890807,-92.4097172922;Davis;Iowa
430;75;12;29.2822055783,-82.7886132018;Levy;Florida
431;169;29;37.8246250522,-92.2076625405;Pulaski;Missouri
432;9;31;41.9127594294,-99.9768991117;Blaine;Nebraska
433;151;48;32.7428202205,-100.402168105;Fisher;Texas
434;69;13;31.5492717947,-82.8492009827;Coffee;Georgia
435;83;19;42.3838803185,-93.2404024994;Hardin;Iowa
436;37;45;33.7722424167,-81.9664425704;Edgefield;South Carolina
437;15;33;42.9845979293,-71.0890593426;Rockingham;New Hampshire
438;405;48;31.3942193486,-94.1681932369;San Augustine;Texas
439;85;18;41.244097338,-85.8607176828;Kosciusko;Indiana
440;199;48;30.3323725105,-94.3902216019;Hardin;Texas
441;99;36;42.781081385,-76.8237785954;Seneca;New York
442;71;54;38.6807283768,-79.350893592;Pendleton;West Virginia
443;55;41;45.4052565917,-120.689371728;Sherman;Oregon
444;215;29;37.31730701,-91.9650546828;Texas;Missouri
445;119;5;34.7699753373,-92.3119257562;Pulaski;Arkansas
446;23;40;34.0266235144,-95.5521803129;Choctaw;Oklahoma
447;71;53;46.2298432372,-118.47840308;Walla Walla;Washington
448;263;48;33.1814152277,-100.777569383;Kent;Texas
