;COUNTYFP;STATEFP;Geo Point;NAME;STATE_NAME
2764;111;22;32.8318884986,-92.3748055749;Union;Louisiana
2765;15;25;42.3401529673,-72.6637844853;Hampshire;Massachusetts
2766;17;40;35.5424444709,-97.9824010419;Canadian;Oklahoma
2767;17;39;39.4386164734,-84.5756449351;Butler;Ohio
2768;5;41;45.1880453547,-122.220869625;Clackamas;Oregon
2769;7;18;40.606258463,-87.310906018;Benton;Indiana
2770;185;17;38.4461016023,-87.8442748908;Wabash;Illinois
2771;7;41;46.0175261512,-123.716999161;Clatsop;Oregon
2772;27;19;42.0362382229,-94.8605592807;Carroll;Iowa
2773;51;12;26.5534898513,-81.1659012496;Hendry;Florida
2774;87;30;46.2296522668,-106.730712236;Rosebud;Montana
2775;123;26;43.5541675519,-85.8009172937;Newaygo;Michigan
2776;51;20;38.9147512529,-99.3172316232;Ellis;Kansas
2777;103;31;42.8788290644,-99.7123497118;Keya Paha;Nebraska
2778;159;47;36.2505340956,-85.9567145693;Smith;Tennessee
2779;63;51;36.9316012682,-80.3625657303;Floyd;Virginia
2780;145;13;32.7360040875,-84.9089881157;Harris;Georgia
2781;311;48;28.3526879602,-98.5678411195;McMullen;Texas
2782;31;36;44.1172175226,-73.7727094403;Essex;New York
2783;99;8;37.9551831858,-102.393348977;Prowers;Colorado
2784;131;39;39.0773714416,-83.0668541556;Pike;Ohio
2785;131;1;31.9892401922,-87.3082017869;Wilcox;Alabama
2786;3;10;39.5783299005,-75.6389781252;New Castle;Delaware
2787;165;20;38.5231613136,-99.3092409497;Rush;Kansas
2788;107;18;40.0403785235,-86.8932997962;Montgomery;Indiana
2789;1;11;38.9047737146,-77.0163026702;District of Columbia;District of Columbia
2790;59;20;38.5645174515,-95.2859482396;Franklin;Kansas
2791;35;54;38.8344683216,-81.6747943199;Jackson;West Virginia
2792;137;13;34.6310256133,-83.5311320934;Habersham;Georgia
2793;41;6;38.05518334,-122.748858563;Marin;California
2794;401;48;32.1077245005,-94.7618791398;Rusk;Texas
2795;53;13;32.346971275,-84.7870462059;Chattahoochee;Georgia
2796;9;16;47.2175378518,-116.658654162;Benewah;Idaho
2797;19;13;31.2760599041,-83.229622;Berrien;Georgia
2798;143;26;44.335608598,-84.6115999116;Roscommon;Michigan
2799;19;40;34.2508713944,-97.2857880387;Carter;Oklahoma
2800;55;35;36.578159387,-105.631025824;Taos;New Mexico
2801;53;1;31.1261225461,-87.1616198682;Escambia;Alabama
2802;17;35;32.7390025581,-108.382455769;Grant;New Mexico
2803;123;39;41.5939007094,-83.0199778922;Ottawa;Ohio
2804;5;40;34.3736483159,-96.0378479139;Atoka;Oklahoma
2805;111;40;35.6466064799,-95.9642646677;Okmulgee;Oklahoma
2806;83;38;47.5754617267,-100.34555506;Sheridan;North Dakota
2807;81;72;18.2686767455,-66.8667797607;Lares;Puerto Rico
2808;89;55;43.3656487303,-87.5944659612;Ozaukee;Wisconsin
2809;117;55;43.7197073785,-87.6347744896;Sheboygan;Wisconsin
2810;5;32;38.9122413956,-119.616372018;Douglas;Nevada
2811;101;12;28.3067419076,-82.438869799;Pasco;Florida
2812;7;56;41.6945892724,-106.930610164;Carbon;Wyoming
2813;59;13;33.9511687467,-83.3673290793;Clarke;Georgia
2814;159;13;33.3164335785,-83.6880895838;Jasper;Georgia
2815;69;42;41.4367863214,-75.6091956535;Lackawanna;Pennsylvania
2816;31;12;30.3354403303,-81.6480093213;Duval;Florida
2817;149;5;35.0025779761,-93.4112514229;Yell;Arkansas
2818;11;31;41.7067847215,-98.0672555333;Boone;Nebraska
2819;107;37;35.2387731611,-77.6412486292;Lenoir;North Carolina
2820;119;31;41.916698107,-97.6007790824;Madison;Nebraska
2821;191;17;38.4295611651,-88.4256137919;Wayne;Illinois
2822;23;72;18.0231618268,-67.1857585947;Cabo Rojo;Puerto Rico
2823;36;51;37.3543505785,-77.0591277659;Charles City;Virginia
